Datetime (he),PV Gen (kW/rated kW),System Load (kW),EV fleet/1,Site Steam Thermal Load (MMBtu/hr),Site Hot Water Thermal Load (MMBtu/hr),Site Cooling Thermal Load (tons),Site Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW),NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),POI: Max Export (kW),POI: Max Import (kW),Aggregate Energy Max (kWh),Aggregate Energy Min (kWh),Critical Load (kW),Battery: Charge Min (kW)/1,Battery: Charge Max (kW)/1,Battery: Energy Max (kWh)/1,Battery: Energy Min (kWh)/1,Battery: Discharge Min (kW)/1,Battery: Discharge Max (kW)/1,FR Reg Up Max (kW),FR Reg Up Min (kW),FR Reg Down Max (kW),FR Reg Down Min (kW),SR Max (kW),SR Min (kW),NSR Max (kW),NSR Min (kW),LF Reg Up Max (kW),LF Reg Up Min (kW),LF Reg Down Max (kW),LF Reg Down Min (kW),LF Price ($/kW),LF Down Price ($/kW),LF Up Price ($/kW),LF Energy Option Up (kWh/kW-hr),LF Energy Option Down (kWh/kW-hr)
1/1/2017 1:00,0,4019.608554,40,0.160784342,0.643137369,12.8627474,0,0.01,32.141,32.141,32.141,7475,0,0,0,0,1900,-1900,9000,0,80.39217108,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 2:00,0,3738.652086,40,0.149546083,0.598184334,11.9636867,0,0.01,32.09331,32.09331,32.09331,7475,0,0,0,0,1900,-1900,9000,0,74.77304172,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 3:00,0,4054.570141,40,0.162182806,0.648731223,12.9746245,0,0.01,31.75182,31.75182,31.75182,7475,0,0,0,0,1900,-1900,9000,0,81.09140282,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 4:00,0,3703.137769,40,0.148125511,0.592502043,11.8500409,0,0.01,31.65485,31.65485,31.65485,7475,0,0,0,0,1900,-1900,9000,0,74.06275538,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 5:00,0,4141.420555,40,0.165656822,0.662627289,13.2525458,0,0.01,30.78625,30.78625,30.78625,7475,0,0,0,0,1900,-1900,9000,0,82.8284111,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 6:00,0,4050.901661,40,0.162036066,0.648144266,12.9628853,0,0.01,32.64,32.64,32.64,7475,0,0,0,0,1900,-1900,9000,0,81.01803322,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 7:00,0,4850.896901,40,0.194035876,0.776143504,15.5228701,0,0.01,34.63289,34.63289,34.63289,7475,0,0,0,0,1900,-1900,9000,0,97.01793802,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 8:00,0.078231,4429.817908,40,0.177192716,0.708770865,14.1754173,0,0.01,34.95474,34.95474,34.95474,7475,0,0,0,10,1900,-1900,9000,0,88.59635816,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 9:00,0.415964,4572.633046,40,0.182905322,0.731621287,14.6324258,0,0.01,29.70845,29.70845,29.70845,7475,0,0,0,10,1900,-1900,9000,0,91.45266092,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 10:00,0.69657,3900.506753,40,0.15602027,0.624081081,12.4816216,0,0.01,17.09308,17.09308,17.09308,7475,0,0,0,10,1900,-1900,9000,0,78.01013506,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 11:00,0.880665,3787.672133,40,0.151506885,0.606027541,12.1205508,0,0.01,9.23,9.23,9.23,7475,0,0,0,10,1900,-1900,9000,0,75.75344266,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 12:00,0.979825,3506.213565,40,0.140248543,0.56099417,11.2198834,0,0.01,4.78,4.78,4.78,7475,0,0,0,10,1900,-1900,9000,0,70.1242713,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 13:00,0.994815,3934.668053,40,0.157386722,0.629546889,12.5909378,0,0.01,3.0651,3.0651,3.0651,7475,0,0,0,10,1900,-1900,9000,0,78.69336106,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 14:00,0.76356,3647.279507,40,0.14589118,0.583564721,11.6712944,0,0.01,2.74629,2.74629,2.74629,7475,0,0,0,10,1900,-1900,9000,0,72.94559014,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 15:00,0.76163,4060.574644,40,0.162422986,0.649691943,12.9938389,0,0.01,8.15473,8.15473,8.15473,7475,0,0,0,10,1900,-1900,9000,0,81.21149288,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 16:00,0.52506,3672.233699,40,0.146889348,0.587557392,11.7511478,0,0.01,27.41489,27.41489,27.41489,7475,0,0,0,10,1900,-1900,9000,0,73.44467398,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 17:00,0.210031,4710.773492,40,0.18843094,0.753723759,15.0744752,0,0.01,36.04143,36.04143,36.04143,7475,0,0,0,10,1900,-1900,9000,0,94.21546984,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 18:00,0,4888.333553,40,0.195533342,0.782133369,15.6426674,0,0.01,50.59049,50.59049,50.59049,7475,0,0,0,0,1900,-1900,9000,0,97.76667106,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 19:00,0,5180.458057,40,0.207218322,0.828873289,16.5774658,0,0.01,51.07051,51.07051,51.07051,7475,0,0,0,0,1900,-1900,9000,0,103.6091611,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 20:00,0,4584.224275,40,0.183368971,0.733475884,14.6695177,0,0.01,45.38316,45.38316,45.38316,7475,0,0,0,0,1900,-1900,9000,0,91.6844855,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 21:00,0,4890.245882,40,0.195609835,0.782439341,15.6487868,0,0.01,40.96986,40.96986,40.96986,7475,0,0,0,0,1900,-1900,9000,0,97.80491764,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 22:00,0,4297.806113,40,0.171912245,0.687648978,13.7529796,0,0.01,43.56135,43.56135,43.56135,7475,0,0,0,0,1900,-1900,9000,0,85.95612226,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/1/2017 23:00,0,4356.664512,40,0.174266581,0.697066322,13.9413264,0,0.01,37.55981,37.55981,37.55981,7475,0,0,0,0,1900,-1900,9000,0,87.13329024,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 0:00,0,3781.996185,40,0.151279847,0.60511939,12.1023878,0,0.01,34.47645,34.47645,34.47645,7475,0,0,0,0,1900,-1900,9000,0,75.6399237,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 1:00,0,4460.599365,40,0.178423975,0.713695898,14.273918,0,0.01,31.14284,31.14284,31.14284,7475,0,0,0,0,1900,-1900,9000,0,89.2119873,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 2:00,0,4140.337189,40,0.165613488,0.66245395,13.249079,0,0.01,30.46592,30.46592,30.46592,7475,0,0,0,0,1900,-1900,9000,0,82.80674378,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 3:00,0,4441.120561,40,0.177644822,0.71057929,14.2115858,0,0.01,28.94514,28.94514,28.94514,7475,0,0,0,0,1900,-1900,9000,0,88.82241122,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 4:00,0,4124.243146,40,0.164969726,0.659878903,13.1975781,0,0.01,28.25863,28.25863,28.25863,7475,0,0,0,0,1900,-1900,9000,0,82.48486292,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 5:00,0,4542.13495,40,0.181685398,0.726741592,14.5348318,0,0.01,29.50415,29.50415,29.50415,7475,0,0,0,0,1900,-1900,9000,0,90.842699,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 6:00,0,4725.139159,40,0.189005566,0.756022265,15.1204453,0,0.01,32.90695,32.90695,32.90695,7475,0,0,0,0,1900,-1900,9000,0,94.50278318,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 7:00,0,6870.120292,40,0.274804812,1.099219246,21.9843849,0,0.01,34.38349,34.38349,34.38349,7475,0,0,0,0,1900,-1900,9000,0,137.4024058,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 8:00,0.077027,5235.845867,40,0.209433835,0.837735338,16.7547068,0,0.01,35.51462,35.51462,35.51462,7475,0,0,0,10,1900,-1900,9000,0,104.7169173,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
1/2/2017 9:00,0.4210115,10537.25054,40,0.421490022,1.685960086,33.7192017,0,0.01,36.06786,36.06786,36.06786,7475,0,0,0,10,1900,-1900,9000,0,210.7450108,,,,,,,100,0,50,0,75,0,150,0,100,0,50,0,0,,,,
